Unnamed: 0,ENSG_ID,ENSG_start_bp,ENSG_end_bp,ENSG_chromosome,ENSG_type,HGNC_symbol,ENSMUSG_ID,ENSMUSG_start_bp,ENSMUSG_end_bp,ENSMUSG_chromosome,ENSMUSG_type,MGI_symbol
1313,ENSG00000214941,15976560,15999717,17,protein_coding,ZSWIM7,ENSMUSG00000014243,62158050,62172201,11,protein_coding,Zswim7
8155,ENSG00000130449,61332258,61546172,5,protein_coding,ZSWIM6,ENSMUSG00000032846,107861152,108026598,13,protein_coding,Zswim6
8446,ENSG00000162415,45016399,45306209,1,protein_coding,ZSWIM5,ENSMUSG00000033948,116734573,116846461,4,protein_coding,Zswim5
8992,ENSG00000132003,13795443,13832254,19,protein_coding,ZSWIM4,ENSMUSG00000035671,84937307,84963684,8,protein_coding,Zswim4
11819,ENSG00000132801,45857614,45879122,20,protein_coding,ZSWIM3,ENSMUSG00000045822,164647018,164664050,2,protein_coding,Zswim3
8642,ENSG00000163012,186827475,186849208,2,protein_coding,ZSWIM2,ENSMUSG00000034552,83745423,83771572,2,protein_coding,Zswim2
1650,ENSG00000168612,45881227,45885266,20,protein_coding,ZSWIM1,ENSMUSG00000017764,164664606,164668791,2,protein_coding,Zswim1
12705,ENSG00000140265,43358172,43371043,15,protein_coding,ZSCAN29,ENSMUSG00000050619,120988754,121001606,2,protein_coding,Zscan29
3174,ENSG00000197062,28267058,28278224,6,protein_coding,ZSCAN26,ENSMUSG00000022228,21626350,21637900,13,protein_coding,Zscan26
14640,ENSG00000197037,99616946,99632408,7,protein_coding,ZSCAN25,ENSMUSG00000070420,145217310,145228088,5,protein_coding,Zscan25
13296,ENSG00000182318,58326994,58342332,19,protein_coding,ZSCAN22,ENSMUSG00000054715,12631742,12643010,7,protein_coding,Zscan22
9395,ENSG00000166529,100049774,100065040,7,protein_coding,ZSCAN21,ENSMUSG00000037017,138115165,138132527,5,protein_coding,Zscan21
14073,ENSG00000121903,33472645,33501643,1,protein_coding,ZSCAN20,ENSMUSG00000061894,128477332,128503891,4,protein_coding,Zscan20
10035,ENSG00000176371,84600986,84627796,15,protein_coding,ZSCAN2,ENSMUSG00000038797,80510668,80526285,7,protein_coding,Zscan2
14694,ENSG00000121413,58083838,58118427,19,protein_coding,ZSCAN18,ENSMUSG00000070822,12502017,12537562,7,protein_coding,Zscan18
9284,ENSG00000158691,28378955,28399747,6,protein_coding,ZSCAN12,ENSMUSG00000036721,21546990,21556459,13,protein_coding,Zscan12
3711,ENSG00000130182,3088890,3099295,16,protein_coding,ZSCAN10,ENSMUSG00000023902,23819830,23829993,17,protein_coding,Zscan10
11488,ENSG00000169249,15790156,15830694,X,protein_coding,ZRSR2,ENSMUSG00000044068,22922005,22926496,11,protein_coding,Zrsr1
9105,ENSG00000121988,135136916,135531218,2,protein_coding,ZRANB3,ENSMUSG00000036086,127881921,128030784,1,protein_coding,Zranb3
5836,ENSG00000132485,71063291,71081289,1,protein_coding,ZRANB2,ENSMUSG00000028180,157239797,157254047,3,protein_coding,Zranb2
7222,ENSG00000019995,124942123,124988189,10,protein_coding,ZRANB1,ENSMUSG00000030967,132532871,132588120,7,protein_coding,Zranb1
7792,ENSG00000109917,116773799,116788039,11,protein_coding,ZPR1,ENSMUSG00000032078,46184362,46193941,9,protein_coding,Zpr1
14330,ENSG00000170044,102099244,102479841,3,protein_coding,ZPLD1,ENSMUSG00000064310,55045538,55118349,16,protein_coding,Zpld1
1583,ENSG00000186075,39868202,39877896,17,protein_coding,ZPBP2,ENSMUSG00000017195,98441923,98449491,11,protein_coding,Zpbp2
2135,ENSG00000042813,49850421,50121329,7,protein_coding,ZPBP,ENSMUSG00000020193,11229626,11412408,11,protein_coding,Zpbp
7207,ENSG00000103310,21197450,21214510,16,protein_coding,ZP2,ENSMUSG00000030911,119725995,119744514,7,protein_coding,Zp2
4123,ENSG00000149506,60867542,60875693,11,protein_coding,ZP1,ENSMUSG00000024734,10891651,10897996,19,protein_coding,Zp1
11582,ENSG00000105428,5455417,5456856,19,protein_coding,ZNRF4,ENSMUSG00000044526,56818248,56819431,17,protein_coding,Znrf4
11015,ENSG00000183579,28883572,29057488,22,protein_coding,ZNRF3,ENSMUSG00000041961,5226324,5394847,11,protein_coding,Znrf3
13716,ENSG00000180233,30284597,30367689,7,protein_coding,ZNRF2,ENSMUSG00000058446,54793901,54870485,6,protein_coding,Znrf2
8349,ENSG00000186187,74999024,75110994,16,protein_coding,ZNRF1,ENSMUSG00000033545,112262729,112352662,8,protein_coding,Znrf1
14966,ENSG00000117174,85649417,85708433,1,protein_coding,ZNHIT6,ENSMUSG00000074182,145281960,145310550,3,protein_coding,Znhit6
15103,ENSG00000174276,65116403,65117701,11,protein_coding,ZNHIT2,ENSMUSG00000075227,6111222,6112502,19,protein_coding,Znhit2
13828,ENSG00000106400,101218165,101224190,7,protein_coding,ZNHIT1,ENSMUSG00000059518,137011018,137016875,5,protein_coding,Znhit1
10269,ENSG00000124201,49237946,49278426,20,protein_coding,ZNFX1,ENSMUSG00000039501,166877713,166904935,2,protein_coding,Znfx1
10320,ENSG00000101040,47209214,47356889,20,protein_coding,ZMYND8,ENSMUSG00000039671,165626072,165740936,2,protein_coding,Zmynd8
5226,ENSG00000165724,137582081,137590512,9,protein_coding,ZMYND19,ENSMUSG00000026974,24839804,24852087,2,protein_coding,Zmynd19
10712,ENSG00000141497,4739833,4746119,17,protein_coding,ZMYND15,ENSMUSG00000040829,70350259,70357028,11,protein_coding,Zmynd15
14691,ENSG00000066185,42430329,42456253,1,protein_coding,ZMYND12,ENSMUSG00000070806,119280011,119324641,4,protein_coding,Zmynd12
2648,ENSG00000015171,134465,254637,10,protein_coding,ZMYND11,ENSMUSG00000021156,9734869,9815366,13,protein_coding,Zmynd11
1154,ENSG00000004838,50341110,50345732,3,protein_coding,ZMYND10,ENSMUSG00000010044,107424497,107428518,9,protein_coding,Zmynd10
11145,ENSG00000163867,34986165,35031945,1,protein_coding,ZMYM6,ENSMUSG00000042408,126971176,127018165,4,protein_coding,Zmym6
10467,ENSG00000132950,19823482,19863649,13,protein_coding,ZMYM5,ENSMUSG00000040123,57028042,57049173,14,protein_coding,Zmym5
11158,ENSG00000146463,35268709,35422058,1,protein_coding,ZMYM4,ENSMUSG00000042446,126755732,126861928,4,protein_coding,Zmym4
7365,ENSG00000147130,71239624,71255146,X,protein_coding,ZMYM3,ENSMUSG00000031310,100447990,100464455,X,protein_coding,Zmym3
3021,ENSG00000121741,19958677,20091829,13,protein_coding,ZMYM2,ENSMUSG00000021945,57124110,57200158,14,protein_coding,Zmym2
11449,ENSG00000197056,35032172,35115859,1,protein_coding,ZMYM1,ENSMUSG00000043872,126940887,126954945,4,protein_coding,Zmym1
11345,ENSG00000084073,40258041,40294180,1,protein_coding,ZMPSTE24,ENSMUSG00000043207,120916434,120955438,4,protein_coding,Zmpste24
10798,ENSG00000122515,44748581,44769881,7,protein_coding,ZMIZ2,ENSMUSG00000041164,6339074,6356158,11,protein_coding,Zmiz2
1017,ENSG00000108175,79068966,79316519,10,protein_coding,ZMIZ1,ENSMUSG00000007817,25459609,25667167,14,protein_coding,Zmiz1
1087,ENSG00000100319,29730956,29767011,22,protein_coding,ZMAT5,ENSMUSG00000009076,4654678,4687669,11,protein_coding,Zmat5
9554,ENSG00000165061,40530590,40897833,8,protein_coding,ZMAT4,ENSMUSG00000037492,24126035,24646601,8,protein_coding,Zmat4
5572,ENSG00000172667,178960121,179072215,3,protein_coding,ZMAT3,ENSMUSG00000027663,32388941,32420163,3,protein_coding,Zmat3
208,ENSG00000146007,140698680,140706686,5,protein_coding,ZMAT2,ENSMUSG00000001383,36926929,36932719,18,protein_coding,Zmat2
13032,ENSG00000166432,101882288,101932031,X,protein_coding,ZMAT1,ENSMUSG00000052676,133872121,133909958,X,protein_coding,Zmat1
14275,ENSG00000198315,28141883,28159460,6,protein_coding,ZKSCAN8,ENSMUSG00000063894,21697392,21715290,13,protein_coding,Zkscan8
14231,ENSG00000196345,44555193,44594173,3,protein_coding,ZKSCAN7,ENSMUSG00000063488,122714750,122727683,9,protein_coding,Zkscan7
1705,ENSG00000154957,11977439,11997475,17,protein_coding,ZNF18,ENSMUSG00000018347,65698001,65720065,11,protein_coding,Zkscan6
13456,ENSG00000196652,99504662,99534700,7,protein_coding,ZKSCAN5,ENSMUSG00000055991,145141372,145158560,5,protein_coding,Zkscan5
7126,ENSG00000155592,25236001,25257845,16,protein_coding,ZKSCAN2,ENSMUSG00000030757,123074607,123099672,7,protein_coding,Zkscan2
2287,ENSG00000162714,247297412,247331867,1,protein_coding,ZNF496,ENSMUSG00000020472,59376346,59417577,11,protein_coding,Zkscan17
9973,ENSG00000173258,111525159,111577844,9,protein_coding,ZNF483,ENSMUSG00000038630,58943628,58958355,4,protein_coding,Zkscan16
6632,ENSG00000160908,99473877,99504857,7,protein_coding,ZNF394,ENSMUSG00000029627,145131756,145138678,5,protein_coding,Zkscan14
6693,ENSG00000106261,100015572,100041689,7,protein_coding,ZKSCAN1,ENSMUSG00000029729,138083346,138106084,5,protein_coding,Zkscan1
6961,ENSG00000171649,57578456,57593890,19,protein_coding,ZIK1,ENSMUSG00000030393,10221156,10229321,7,protein_coding,Zik1
10940,ENSG00000139800,99962964,99971767,13,protein_coding,ZIC5,ENSMUSG00000041703,122694207,122703089,14,protein_coding,Zic5
9375,ENSG00000174963,147386046,147406809,3,protein_coding,ZIC4,ENSMUSG00000036972,91244466,91271401,9,protein_coding,Zic4
14474,ENSG00000156925,137566127,137577691,X,protein_coding,ZIC3,ENSMUSG00000067860,57068060,57087096,X,protein_coding,Zic3
14035,ENSG00000043355,99981784,99986765,13,protein_coding,ZIC2,ENSMUSG00000061524,122712847,122717264,14,protein_coding,Zic2
7948,ENSG00000152977,147393422,147510293,3,protein_coding,ZIC1,ENSMUSG00000032368,91240111,91247863,9,protein_coding,Zic1
9047,ENSG00000174306,41178448,41317731,20,protein_coding,ZHX3,ENSMUSG00000035877,160590628,160714918,2,protein_coding,Zhx3
14800,ENSG00000178764,122781655,122974510,8,protein_coding,ZHX2,ENSMUSG00000071757,57558061,57703228,15,protein_coding,Zhx2
3244,ENSG00000165156,123248451,123275541,8,protein_coding,ZHX1,ENSMUSG00000022361,57910399,57939937,15,protein_coding,Zhx1
5531,ENSG00000197114,63707465,63736142,20,protein_coding,ZGPAT,ENSMUSG00000027582,181006721,181025421,2,protein_coding,Zgpat
15328,ENSG00000220201,10304803,10309880,19,protein_coding,ZGLP1,ENSMUSG00000079681,20973689,20978389,9,protein_coding,Zglp1
12464,ENSG00000174992,29778256,29782973,16,protein_coding,ZG16,ENSMUSG00000049350,126649328,126686500,7,protein_coding,Zg16
8643,ENSG00000157077,52142089,52348671,1,protein_coding,ZFYVE9,ENSMUSG00000034557,108494663,108637995,4,protein_coding,Zfyve9
9459,ENSG00000159733,2269582,2418651,4,protein_coding,ZFYVE28,ENSMUSG00000037224,34352237,34445793,5,protein_coding,Zfyve28
1785,ENSG00000155256,97737121,97760907,10,protein_coding,ZFYVE27,ENSMUSG00000018820,42152390,42183029,19,protein_coding,Zfyve27
14385,ENSG00000072121,67727374,67816590,14,protein_coding,ZFYVE26,ENSMUSG00000066440,79279120,79343078,12,protein_coding,Zfyve26
2713,ENSG00000100711,103715730,103733668,14,protein_coding,ZFYVE21,ENSMUSG00000021286,111780604,111798626,12,protein_coding,Zfyve21
14529,ENSG00000166140,40807086,40815084,15,protein_coding,ZFYVE19,ENSMUSG00000068580,119039098,119047530,2,protein_coding,Zfyve19
11218,ENSG00000165861,72969451,73027131,14,protein_coding,ZFYVE1,ENSMUSG00000042628,83593332,83643996,12,protein_coding,Zfyve1
15307,ENSG00000067646,2935281,2982506,Y,protein_coding,ZFY,ENSMUSG00000079509,93118237,93167308,X,protein_coding,Zfx
13086,ENSG00000188070,63759892,63768775,11,protein_coding,ZFTA,ENSMUSG00000053080,7394990,7403269,19,protein_coding,Zfta
8778,ENSG00000105278,3804024,3869038,19,protein_coding,ZFR2,ENSMUSG00000034949,81068989,81087957,10,protein_coding,Zfr2
3155,ENSG00000056097,32354350,32444740,5,protein_coding,ZFR,ENSMUSG00000022201,12117917,12185769,15,protein_coding,Zfr
3213,ENSG00000169946,104590733,105804539,8,protein_coding,ZFPM2,ENSMUSG00000022306,40518431,40967988,15,protein_coding,Zfpm2
4156,ENSG00000162300,65084210,65088398,11,protein_coding,ZFPL1,ENSMUSG00000024792,6130792,6134986,19,protein_coding,Zfpl1
12999,ENSG00000181896,19668796,19683509,19,protein_coding,ZNF101,ENSMUSG00000052446,72704882,72747636,8,protein_coding,Zfp961
14982,ENSG00000124459,43912624,43935282,19,protein_coding,ZNF45,ENSMUSG00000074282,24001129,24016091,7,protein_coding,Zfp94
7392,ENSG00000189420,153411472,153426481,X,protein_coding,ZFP92,ENSMUSG00000031374,72454702,72471991,X,protein_coding,Zfp92
7688,ENSG00000184939,68530090,68576072,16,protein_coding,ZFP90,ENSMUSG00000031907,107141959,107153230,8,protein_coding,Zfp90
14826,ENSG00000175395,37949573,37976647,10,protein_coding,ZNF25,ENSMUSG00000072623,118438911,118456281,6,protein_coding,Zfp9
11535,ENSG00000234284,179023804,179035064,5,protein_coding,ZNF879,ENSMUSG00000044296,50722858,50732379,11,protein_coding,Zfp879
15527,ENSG00000236609,6615610,6624290,7,protein_coding,ZNF853,ENSMUSG00000093910,143272793,143279378,5,protein_coding,Zfp853
11881,ENSG00000196381,37667751,37692315,19,protein_coding,ZNF781,ENSMUSG00000046185,29467977,29479246,7,protein_coding,Zfp84
2703,ENSG00000022976,102317377,102342702,14,protein_coding,ZNF839,ENSMUSG00000021271,110816687,110836430,12,protein_coding,Zfp839
12700,ENSG00000124203,59123381,59259113,20,protein_coding,ZNF831,ENSMUSG00000050600,174485327,174552625,2,protein_coding,Zfp831
11848,ENSG00000198783,34961540,34963777,17,protein_coding,ZNF830,ENSMUSG00000046010,82655171,82656761,11,protein_coding,Zfp830
14720,ENSG00000151612,145757627,145938823,4,protein_coding,ZNF827,ENSMUSG00000071064,79755066,79920395,8,protein_coding,Zfp827
7582,ENSG00000102984,71859680,71895336,16,protein_coding,ZNF821,ENSMUSG00000031728,110432178,110451564,8,protein_coding,Zfp821
15593,ENSG00000181007,36383120,36418644,19,protein_coding,ZFP82,ENSMUSG00000098022,29753914,29772325,7,protein_coding,Zfp82
15506,ENSG00000182348,88759700,89338528,7,protein_coding,ZNF804B,ENSMUSG00000092094,6819010,7394756,5,protein_coding,Zfp804b
14697,ENSG00000170396,184598529,184939492,2,protein_coding,ZNF804A,ENSMUSG00000070866,81883566,82090223,2,protein_coding,Zfp804a
10382,ENSG00000048405,127346790,127431924,7,protein_coding,ZNF800,ENSMUSG00000039841,28239926,28398004,6,protein_coding,Zfp800
14967,ENSG00000173875,12610918,12633840,19,protein_coding,ZNF791,ENSMUSG00000074194,85835182,85849724,8,protein_coding,Zfp791
11991,ENSG00000142409,56087366,56121295,19,protein_coding,ZNF787,ENSMUSG00000046792,6134490,6158996,7,protein_coding,Zfp787
12866,ENSG00000197362,149069641,149090782,7,protein_coding,ZNF786,ENSMUSG00000051499,47796200,47807801,6,protein_coding,Zfp786
11360,ENSG00000179922,55620741,55624566,19,protein_coding,ZNF784,ENSMUSG00000043290,5037438,5041445,7,protein_coding,Zfp784
14760,ENSG00000196453,149431363,149461062,7,protein_coding,ZNF777,ENSMUSG00000071477,48001122,48025845,6,protein_coding,Zfp777
13297,ENSG00000179965,30407414,30431108,16,protein_coding,ZNF771,ENSMUSG00000054716,126843446,126853975,7,protein_coding,Zfp771
10531,ENSG00000198146,34978341,34988287,15,protein_coding,ZNF770,ENSMUSG00000040321,114023942,114031950,2,protein_coding,Zfp770
12107,ENSG00000169957,30524004,30526821,16,protein_coding,ZNF768,ENSMUSG00000047371,126941967,126944761,7,protein_coding,Zfp768
10190,ENSG00000141579,82829434,82840022,17,protein_coding,ZNF750,ENSMUSG00000039238,121401804,121410159,11,protein_coding,Zfp750
13649,ENSG00000181220,149472696,149497817,7,protein_coding,ZNF746,ENSMUSG00000057691,48039329,48063527,6,protein_coding,Zfp746
12016,ENSG00000139651,53180704,53195142,12,protein_coding,ZNF740,ENSMUSG00000046897,102111684,102124041,15,protein_coding,Zfp740
13882,ENSG00000196437,37411155,37469275,19,protein_coding,ZNF569,ENSMUSG00000059975,29630240,29653514,7,protein_coding,Zfp74
4525,ENSG00000147180,85243991,85273362,X,protein_coding,ZNF711,ENSMUSG00000025529,111510223,111544767,X,protein_coding,Zfp711
14130,ENSG00000120963,101177878,101206193,8,protein_coding,ZNF706,ENSMUSG00000062397,36997271,37008017,15,protein_coding,Zfp706
10496,ENSG00000164684,80628451,80874781,8,protein_coding,ZNF704,ENSMUSG00000040209,9492080,9675145,3,protein_coding,Zfp704
15361,ENSG00000183779,37695782,37700019,8,protein_coding,ZNF703,ENSMUSG00000085795,27467353,27471489,8,protein_coding,Zfp703
12599,ENSG00000143067,119619377,119648266,1,protein_coding,ZNF697,ENSMUSG00000050064,98289777,98661128,3,protein_coding,Zfp697
9465,ENSG00000171163,248850006,248859144,1,protein_coding,ZNF692,ENSMUSG00000037243,58197895,58205453,11,protein_coding,Zfp692
11718,ENSG00000164011,42846573,42852477,1,protein_coding,ZNF691,ENSMUSG00000045268,119026710,119031392,4,protein_coding,Zfp691
14304,ENSG00000187815,40477290,40496343,1,protein_coding,ZFP69,ENSMUSG00000064141,120787334,120808896,4,protein_coding,Zfp69
12390,ENSG00000156853,30602558,30624012,16,protein_coding,ZNF689,ENSMUSG00000048921,127041308,127048330,7,protein_coding,Zfp689
11713,ENSG00000229809,30569672,30572734,16,protein_coding,ZNF688,ENSMUSG00000045251,127018139,127021240,7,protein_coding,Zfp688
1856,ENSG00000143373,151281618,151292176,1,protein_coding,ZNF687,ENSMUSG00000019338,94913901,94922759,3,protein_coding,Zfp687
12546,ENSG00000171161,248838210,248849517,1,protein_coding,ZNF672,ENSMUSG00000049755,58205940,58221165,11,protein_coding,Zfp672
12542,ENSG00000167394,31060843,31074240,16,protein_coding,ZNF668,ENSMUSG00000049728,127462219,127476000,7,protein_coding,Zfp668
13322,ENSG00000198046,56439325,56478065,19,protein_coding,ZNF667,ENSMUSG00000054893,6289578,6310882,7,protein_coding,Zfp667
15272,ENSG00000179195,123971845,124015439,12,protein_coding,ZNF664,ENSMUSG00000079215,124939755,124979757,5,protein_coding,Zfp664
8727,ENSG00000275111,95165432,95184317,2,protein_coding,ZNF2,ENSMUSG00000034800,127416582,127429014,2,protein_coding,Zfp661
1015,ENSG00000197343,99558406,99576453,7,protein_coding,ZNF655,ENSMUSG00000007812,145168525,145184112,5,protein_coding,Zfp655
12064,ENSG00000175105,88059255,88144660,3,protein_coding,ZNF654,ENSMUSG00000047141,64600710,64672015,16,protein_coding,Zfp654
10067,ENSG00000161914,11483427,11505839,19,protein_coding,ZNF653,ENSMUSG00000038895,21966707,21982672,9,protein_coding,Zfp653
15140,ENSG00000198740,49289206,49362473,17,protein_coding,ZNF652,ENSMUSG00000075595,95603499,95725941,11,protein_coding,Zfp652
1274,ENSG00000114853,42653697,42667580,3,protein_coding,ZBTB47,ENSMUSG00000013419,121588396,121600808,9,protein_coding,Zfp651
14408,ENSG00000179930,182054570,182061712,1,protein_coding,ZNF648,ENSMUSG00000066797,154076933,154081435,1,protein_coding,Zfp648
13333,ENSG00000196150,144876497,144902168,8,protein_coding,ZNF250,ENSMUSG00000054967,76794571,76809648,15,protein_coding,Zfp647
12543,ENSG00000167395,31074422,31084196,16,protein_coding,ZNF646,ENSMUSG00000049739,127475393,127485168,7,protein_coding,Zfp646
12513,ENSG00000122482,90915298,91022272,1,protein_coding,ZNF644,ENSMUSG00000049606,106764605,106845153,5,protein_coding,Zfp644
3572,ENSG00000167528,48337180,48351414,12,protein_coding,ZNF641,ENSMUSG00000022987,98183466,98194042,15,protein_coding,Zfp641
5514,ENSG00000020256,52051663,52204308,20,protein_coding,ZFP64,ENSMUSG00000027551,168735251,168797507,2,protein_coding,Zfp64
5574,ENSG00000121864,179323031,179338583,3,protein_coding,ZNF639,ENSMUSG00000027667,32564408,32574982,3,protein_coding,Zfp639
6775,ENSG00000075292,71276561,71435069,2,protein_coding,ZNF638,ENSMUSG00000030016,83844091,83966532,6,protein_coding,Zfp638
13844,ENSG00000169740,43643860,43648881,10,protein_coding,ZNF32,ENSMUSG00000059689,117818141,117822917,6,protein_coding,Zfp637
11785,ENSG00000102870,30778456,30787205,16,protein_coding,ZNF629,ENSMUSG00000045639,127206203,127214969,7,protein_coding,Zfp629
14996,ENSG00000197483,55476617,55484487,19,protein_coding,ZNF628,ENSMUSG00000074406,4918216,4925001,7,protein_coding,Zfp628
12742,ENSG00000183309,143636019,143656418,8,protein_coding,ZNF623,ENSMUSG00000050846,75812801,75821249,15,protein_coding,Zfp623
12963,ENSG00000173545,16451519,16465800,5,protein_coding,ZNF622,ENSMUSG00000052253,25984452,25998567,15,protein_coding,Zfp622
11902,ENSG00000196670,180847611,180861285,5,protein_coding,ZFP62,ENSMUSG00000046311,49094119,49109643,11,protein_coding,Zfp62
5919,ENSG00000157657,113876282,114056593,9,protein_coding,ZNF618,ENSMUSG00000028358,62883810,63057945,4,protein_coding,Zfp618
11609,ENSG00000167377,71447597,71463095,16,protein_coding,ZNF23,ENSMUSG00000044676,110806378,110819373,8,protein_coding,Zfp612
12701,ENSG00000167380,44165073,44178381,19,protein_coding,ZNF226,ENSMUSG00000050605,23990464,24000657,7,protein_coding,Zfp61
10602,ENSG00000180357,64460578,64686068,15,protein_coding,ZNF609,ENSMUSG00000040524,65599673,65734846,9,protein_coding,Zfp609
13038,ENSG00000168916,124636913,124748807,5,protein_coding,ZNF608,ENSMUSG00000052713,55021120,55125627,18,protein_coding,Zfp608
6960,ENSG00000166704,57977076,58003349,19,protein_coding,ZNF606,ENSMUSG00000030386,12212220,12230162,7,protein_coding,Zfp606
3663,ENSG00000196458,132918306,132956306,12,protein_coding,ZNF605,ENSMUSG00000023284,110257958,110277660,5,protein_coding,Zfp605
10787,ENSG00000167962,1997654,2009821,16,protein_coding,ZNF598,ENSMUSG00000041130,24888661,24900990,17,protein_coding,Zfp598
10365,ENSG00000167981,3432414,3443504,16,protein_coding,ZNF597,ENSMUSG00000039789,3676185,3702425,16,protein_coding,Zfp597
6191,ENSG00000142684,26169908,26170873,1,protein_coding,ZNF593,ENSMUSG00000028840,133970600,133972903,4,protein_coding,Zfp593
790,ENSG00000166716,84748592,84806445,15,protein_coding,ZNF592,ENSMUSG00000005621,80643429,80694912,7,protein_coding,Zfp592
6981,ENSG00000198440,56397966,56436035,19,protein_coding,ZNF583,ENSMUSG00000030443,6318659,6334284,7,protein_coding,Zfp583
13409,ENSG00000213015,55635016,55643470,19,protein_coding,ZNF580,ENSMUSG00000055633,5054537,5056722,7,protein_coding,Zfp580
12874,ENSG00000218891,55576774,55580848,19,protein_coding,ZNF579,ENSMUSG00000051550,4986482,4999157,7,protein_coding,Zfp579
14402,ENSG00000176472,43525497,43536130,19,protein_coding,ZNF575,ENSMUSG00000066721,24283263,24287066,7,protein_coding,Zfp575
11714,ENSG00000105732,42068477,42081552,19,protein_coding,ZNF574,ENSMUSG00000045252,24771992,24782917,7,protein_coding,Zfp574
9092,ENSG00000204644,29672483,29681155,6,protein_coding,ZFP57,ENSMUSG00000036036,37312055,37321527,17,protein_coding,Zfp57
11761,ENSG00000197961,9560329,9584504,19,protein_coding,ZNF121,ENSMUSG00000045519,20256432,20296473,9,protein_coding,Zfp560
11777,ENSG00000180035,30378106,30400108,16,protein_coding,ZNF48,ENSMUSG00000045598,126832233,126837351,7,protein_coding,Zfp553
8487,ENSG00000204519,57681969,57717301,19,protein_coding,ZNF551,ENSMUSG00000034071,12149080,12156678,7,protein_coding,Zfp551
15229,ENSG00000118156,47520690,47573148,19,protein_coding,ZNF541,ENSMUSG00000078796,15795739,15830259,7,protein_coding,Zfp541
11391,ENSG00000198597,30228290,30713538,19,protein_coding,ZNF536,ENSMUSG00000043456,37017449,37473066,7,protein_coding,Zfp536
11156,ENSG00000074657,58862600,58986480,18,protein_coding,ZNF532,ENSMUSG00000042439,65712983,65822514,18,protein_coding,Zfp532
11940,ENSG00000167625,42220312,42228201,19,protein_coding,ZNF526,ENSMUSG00000046541,24920850,24926932,7,protein_coding,Zfp526
3889,ENSG00000065029,35258909,35295985,6,protein_coding,ZNF76,ENSMUSG00000024220,28396103,28424860,17,protein_coding,Zfp523
3984,ENSG00000198795,25061924,25352190,18,protein_coding,ZNF521,ENSMUSG00000024420,13820070,14105844,18,protein_coding,Zfp521
11946,ENSG00000178163,10439880,10457426,4,protein_coding,ZNF518B,ENSMUSG00000046572,38825827,38842169,5,protein_coding,Zfp518b
12436,ENSG00000177853,96129715,96205288,10,protein_coding,ZNF518A,ENSMUSG00000049164,40883149,40906391,19,protein_coding,Zfp518a
13757,ENSG00000101493,76357682,76495242,18,protein_coding,ZNF516,ENSMUSG00000058881,82928788,83023439,18,protein_coding,Zfp516
11320,ENSG00000163795,27377235,27380790,2,protein_coding,ZNF513,ENSMUSG00000043059,31356325,31359647,5,protein_coding,Zfp513
119,ENSG00000196700,63956704,63969930,20,protein_coding,ZNF512B,ENSMUSG00000000823,181223896,181234596,2,protein_coding,Zfp512b
14157,ENSG00000243943,27582969,27623217,2,protein_coding,ZNF512,ENSMUSG00000062761,31609775,31639098,5,protein_coding,Zfp512
4494,ENSG00000198546,133308914,133313162,10,protein_coding,ZNF511,ENSMUSG00000025470,139616304,139620515,7,protein_coding,Zfp511
11568,ENSG00000168813,32345594,32387667,19,protein_coding,ZNF507,ENSMUSG00000044452,35471768,35502428,7,protein_coding,Zfp507
10122,ENSG00000165655,75397830,75401764,10,protein_coding,ZNF503,ENSMUSG00000039081,22034027,22039669,14,protein_coding,Zfp503
